sample	sequence_name	vdj	cdr3	subset	variable	value	subset_count
1	h9C12-Q97A_HC	0	0	run1	h9C12-Q97A	1	1
1	h9C12-Q97A_HC	19.82758620689655	0	run1 run3	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	32.758620689655174	0	run1 run2 run3	h9C12-Q97A	1	3
1	h9C12-Q97A_HC	32.758620689655174	0	run2 run3	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	25	0	run1 run2 run4	h9C12-Q97A	1	3
1	h9C12-Q97A_HC	6.0344827586206895	0	run1 run4	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	25	0	run2 run4	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	6.0344827586206895	0	run4	h9C12-Q97A	1	1
1	h9C12-Q97A_HC	25.862068965517242	0	run1 run3 run4	h9C12-Q97A	1	3
1	h9C12-Q97A_HC	37.06896551724138	0	run2 run3 run4	h9C12-Q97A	1	3
1	h9C12-Q97A_HC	20.689655172413794	0	run1 run2	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	25.862068965517242	0	run3 run4	h9C12-Q97A	1	2
1	h9C12-Q97A_HC	37.06896551724138	0	run1 run2 run3 run4	h9C12-Q97A	1	4
1	h9C12-Q97A_HC	20.689655172413794	0	run2	h9C12-Q97A	1	1
1	h9C12-Q97A_HC	19.82758620689655	0	run3	h9C12-Q97A	1	1
10	h9C12-WT_HC	95.72649572649573	100	run1 run2 run3 run4	h9C12-WT	10	4
10	h9C12-WT_HC	68.37606837606837	69.23076923076923	run1 run3	h9C12-WT	10	2
10	h9C12-WT_HC	68.37606837606837	69.23076923076923	run3	h9C12-WT	10	1
10	h9C12-WT_HC	95.72649572649573	100	run1 run2 run4	h9C12-WT	10	3
10	h9C12-WT_HC	33.33333333333333	76.92307692307693	run1 run4	h9C12-WT	10	2
10	h9C12-WT_HC	95.72649572649573	100	run1 run2	h9C12-WT	10	2
10	h9C12-WT_HC	33.33333333333333	76.92307692307693	run4	h9C12-WT	10	1
10	h9C12-WT_HC	95.72649572649573	100	run1 run2 run3	h9C12-WT	10	3
10	h9C12-WT_HC	0	0	run1	h9C12-WT	10	1
10	h9C12-WT_HC	95.72649572649573	100	run2 run3 run4	h9C12-WT	10	3
10	h9C12-WT_HC	95.72649572649573	100	run2 run3	h9C12-WT	10	2
10	h9C12-WT_HC	95.72649572649573	100	run2	h9C12-WT	10	1
10	h9C12-WT_HC	69.23076923076923	76.92307692307693	run3 run4	h9C12-WT	10	2
10	h9C12-WT_HC	95.72649572649573	100	run2 run4	h9C12-WT	10	2
10	h9C12-WT_HC	69.23076923076923	76.92307692307693	run1 run3 run4	h9C12-WT	10	3
11	Brimab_HC	96.52173913043478	80	run1 run2	Brimab	10	2
11	Brimab_HC	96.52173913043478	80	run1 run3	Brimab	10	2
11	Brimab_HC	96.52173913043478	80	run2	Brimab	10	1
11	Brimab_HC	96.52173913043478	80	run1	Brimab	10	1
11	Brimab_HC	96.52173913043478	80	run2 run4	Brimab	10	2
11	Brimab_HC	74.78260869565217	0	run3 run4	Brimab	10	2
11	Brimab_HC	96.52173913043478	80	run1 run2 run3 run4	Brimab	10	4
11	Brimab_HC	74.78260869565217	0	run3	Brimab	10	1
11	Brimab_HC	96.52173913043478	80	run1 run4	Brimab	10	2
11	Brimab_HC	96.52173913043478	80	run1 run2 run3	Brimab	10	3
11	Brimab_HC	96.52173913043478	80	run1 run3 run4	Brimab	10	3
11	Brimab_HC	53.91304347826087	0	run4	Brimab	10	1
11	Brimab_HC	96.52173913043478	80	run2 run3 run4	Brimab	10	3
