h9C12-Q97A	h9C12-WT	Brimab	Umab	PGT121	PGDM1400
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	0	0	0	1
1	1	0	0	0	0
1	1	1	1	1	1
10	0	0	0	0	0
0	10	0	0	0	0
0	0	10	0	0	0
0	0	0	10	0	0
0	0	0	0	10	0
0	0	0	0	0	10
10	10	0	0	0	0
10	10	10	10	10	10
100	0	0	0	0	0
0	100	0	0	0	0
0	0	100	0	0	0
0	0	0	100	0	0
0	0	0	0	100	0
0	0	0	0	0	100
100	100	0	0	0	0
100	100	100	100	100	100
1000	0	0	0	0	0
0	1000	0	0	0	0
0	0	1000	0	0	0
0	0	0	1000	0	0
0	0	0	0	1000	0
0	0	0	0	0	1000
0	0	1	1	1000	1000
0	0	100	100	1000	1000
0	0	1000	1000	1000	1000
1000	1000	0	0	0	0
1000	1000	1000	1000	1000	1000
0	1	0	0	0	0
0	10	0	0	0	0
0	100	0	0	0	0
0	1000	0	0	0	0
0	0	0	1	0	0
0	0	0	10	0	0
0	0	0	100	0	0
0	0	0	1000	0	0
0	0	0	0	0	1
0	0	0	0	0	10
0	0	0	0	0	100
0	0	0	0	0	1000
1	1000	0	0	0	0
10	1000	0	0	0	0
100	1000	0	0	0	0
1000	1	0	0	0	0
1000	10	0	0	0	0
1000	100	0	0	0	0
1000	1000	0	0	0	0
1	1	1	1	1	1
10	10	10	10	10	10
100	100	100	100	100	100
1000	1000	1000	1000	1000	1000
1	1000	1	1000	1	1000
1000	1	1000	1	1000	1
10	1000	10	1000	10	1000
1000	10	1000	10	1000	10
100	1000	100	1000	100	1000
1000	100	1000	100	1000	100
1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	1000	1000
0	0	0	0	0	0
0	0	0	0	0	0
1	1	1	1	1	1
1000	1000	1000	1000	1000	1000
