Sample_info	Sample	has_blood	has_GingisKHAN	h9C12-Q97A	h9C12-Q97A_HC	h9C12_LC	concentration_h9C12-Q97A	h9C12-WT	h9C12-WT_HC	concentration_h9C12-WT	Brimab	Brimab_HC	Brimab_LC	concentration_Brimab	PGDM1400	PGDM1400_HC	PGDM1400_LC	concentration_PGDM1400	PGT121	PGT121_HC	PGT121_LC	concentration_PGT121	Umab	Umab_HC	Umab_LC	concentration_Umab	n_abs
1000 ng blood-isolated hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	1	TRUE	FALSE	TRUE	TRUE	TRUE	1	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	2	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	3	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	4	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	1
1000 ng blood-isolated hIgG1 + 1 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	5	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	6	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	7	TRUE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng blood-isolated hIgG1 + 1 ng PGDM1400 hIgG1 + 1 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	8	TRUE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	6
1000 ng blood-isolated hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	9	TRUE	FALSE	TRUE	TRUE	TRUE	10	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	10	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	11	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	12	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	1
1000 ng blood-isolated hIgG1 + 10 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	13	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	1
