Rawfilenumber	Sample	Protease	run	replicate
EH3414	1	Tryp	run1	1
EH3415	1	Tryp	run1	2
EH3416	1	Tryp	run1	3
EH3417	blank	Tryp	run1	NA
EH3418	2	Tryp	run1	1
EH3419	2	Tryp	run1	2
EH3420	2	Tryp	run1	3
EH3421	blank	Tryp	run1	NA
EH3422	3	Tryp	run1	1
EH3423	3	Tryp	run1	2
EH3424	3	Tryp	run1	3
EH3425	blank	Tryp	run1	NA
EH3426	4	Tryp	run1	1
EH3427	4	Tryp	run1	2
EH3428	4	Tryp	run1	3
EH3429	blank	Tryp	run1	NA
EH3430	5	Tryp	run1	1
EH3431	5	Tryp	run1	2
EH3432	5	Tryp	run1	3
EH3433	blank	Tryp	run1	NA
EH3434	blank	Tryp	run1	NA
EH3435	blank	Tryp	run1	NA
EH3436	6	Tryp	run1	1
EH3437	6	Tryp	run1	2
EH3438	6	Tryp	run1	3
EH3439	blank	Tryp	run1	NA
EH3440	7	Tryp	run1	1
EH3441	7	Tryp	run1	2
EH3442	7	Tryp	run1	3
EH3443	blank	Tryp	run1	NA
EH3444	8	Tryp	run1	1
EH3445	8	Tryp	run1	2
EH3446	8	Tryp	run1	3
EH3447	blank	Tryp	run1	NA
EH3448	9	Tryp	run1	1
EH3449	9	Tryp	run1	2
EH3450	9	Tryp	run1	3
EH3451	blank	Tryp	run1	NA
EH3452	10	Tryp	run1	1
EH3453	10	Tryp	run1	2
EH3454	10	Tryp	run1	3
EH3455	blank	Tryp	run1	NA
EH3456	blank	Tryp	run1	NA
EH3457	blank	Tryp	run1	NA
EH3458	11	Tryp	run1	1
EH3459	11	Tryp	run1	2
EH3460	11	Tryp	run1	3
EH3461	blank	Tryp	run1	NA
EH3462	12	Tryp	run1	1
EH3463	12	Tryp	run1	2
EH3464	12	Tryp	run1	3
EH3465	blank	Tryp	run1	NA
EH3466	13	Tryp	run1	1
EH3467	13	Tryp	run1	2
EH3468	13	Tryp	run1	3
EH3469	blank	Tryp	run1	NA
EH3470	14	Tryp	run1	1
EH3471	14	Tryp	run1	2
EH3472	14	Tryp	run1	3
EH3473	blank	Tryp	run1	NA
EH3474	15	Tryp	run1	1
EH3475	15	Tryp	run1	2
EH3476	15	Tryp	run1	3
EH3477	blank	Tryp	run1	NA
EH3478	16	Tryp	run1	1
EH3479	16	Tryp	run1	2
EH3480	16	Tryp	run1	3
EH3481	blank	Tryp	run1	NA
EH3482	blank	Tryp	run1	NA
EH3483	blank	Tryp	run1	NA
EH3484	17	Tryp	run1	1
EH3485	17	Tryp	run1	2
EH3486	17	Tryp	run1	3
EH3487	blank	Tryp	run1	NA
EH3488	18	Tryp	run1	1
EH3489	18	Tryp	run1	2
EH3490	18	Tryp	run1	3
EH3491	blank	Tryp	run1	NA
EH3492	19	Tryp	run1	1
EH3493	19	Tryp	run1	2
EH3494	19	Tryp	run1	3
EH3495	blank	Tryp	run1	NA
EH3496	20	Tryp	run1	1
EH3497	20	Tryp	run1	2
EH3498	20	Tryp	run1	3
EH3499	blank	Tryp	run1	NA
EH3500	21	Tryp	run1	1
EH3501	21	Tryp	run1	2
EH3502	21	Tryp	run1	3
EH3503	blank	Tryp	run1	NA
EH3504	blank	Tryp	run1	NA
EH3505	blank	Tryp	run1	NA
EH3506	22	Tryp	run1	1
EH3507	22	Tryp	run1	2
EH3508	22	Tryp	run1	3
EH3509	blank	Tryp	run1	NA
EH3510	23	Tryp	run1	1
EH3511	23	Tryp	run1	2
EH3512	23	Tryp	run1	3
EH3513	blank	Tryp	run1	NA
EH3514	24	Tryp	run1	1
EH3515	24	Tryp	run1	2
EH3516	blank	Tryp	run1	NA
EH3517	25	Tryp	run1	1
EH3518	25	Tryp	run1	2
EH3519	25	Tryp	run1	3
EH3520	blank	Tryp	run1	NA
EH3521	blank	Tryp	run1	NA
EH3522	blank	Tryp	run1	NA
EH3523	26	Tryp	run1	1
EH3524	26	Tryp	run1	2
EH3525	26	Tryp	run1	3
EH3526	blank	Tryp	run1	NA
EH3527	blank	Tryp	run1	NA
EH3528	blank	Tryp	run1	NA
EH3529	27	Tryp	run1	1
EH3530	27	Tryp	run1	2
EH3531	27	Tryp	run1	3
EH3532	blank	Tryp	run1	NA
EH3533	blank	Tryp	run1	NA
EH3534	blank	Tryp	run1	NA
EH3535	28	Tryp	run1	1
EH3536	28	Tryp	run1	2
EH3537	28	Tryp	run1	3
EH3538	blank	Tryp	run1	NA
EH3539	blank	Tryp	run1	NA
EH3540	blank	Tryp	run1	NA
EH3541	29	Tryp	run1	1
EH3542	29	Tryp	run1	2
EH3543	29	Tryp	run1	3
EH3544	blank	Tryp	run1	NA
EH3545	blank	Tryp	run1	NA
EH3546	blank	Tryp	run1	NA
EH3547	30	Tryp	run1	1
EH3548	30	Tryp	run1	2
EH3549	30	Tryp	run1	3
EH3550	blank	Tryp	run1	NA
EH3551	blank	Tryp	run1	NA
EH3552	blank	Tryp	run1	NA
EH3553	31	Tryp	run1	1
EH3554	31	Tryp	run1	2
EH3555	31	Tryp	run1	3
EH3556	blank	Tryp	run1	NA
EH3557	blank	Tryp	run1	NA
EH3558	blank	Tryp	run1	NA
EH3559	32	Tryp	run1	1
EH3560	32	Tryp	run1	2
EH3561	32	Tryp	run1	3
EH3562	blank	Tryp	run1	NA
EH3563	blank	Tryp	run1	NA
EH3564	blank	Tryp	run1	NA
EH3565	33	Tryp	run1	1
EH3566	33	Tryp	run1	2
EH3567	33	Tryp	run1	3
EH3568	blank	Tryp	run1	NA
EH3569	blank	Tryp	run1	NA
EH3570	blank	Tryp	run1	NA
EH3571	34	Tryp	run1	1
EH3572	34	Tryp	run1	2
EH3573	34	Tryp	run1	3
EH3574	blank	Tryp	run1	NA
EH3575	blank	Tryp	run1	NA
EH3576	blank	Tryp	run1	NA
EH3577	35	Tryp	run1	1
EH3578	35	Tryp	run1	2
EH3579	35	Tryp	run1	3
EH3580	blank	Tryp	run1	NA
EH3581	blank	Tryp	run1	NA
EH3582	blank	Tryp	run1	NA
EH3583	36	Tryp	run1	1
EH3584	36	Tryp	run1	2
EH3585	36	Tryp	run1	3
EH3586	37	Tryp	run1	1
EH3587	37	Tryp	run1	2
EH3588	37	Tryp	run1	3
EH3589	38	Tryp	run1	1
EH3590	38	Tryp	run1	2
EH3591	38	Tryp	run1	3
EH3592	39	Tryp	run1	1
EH3593	39	Tryp	run1	2
EH3594	39	Tryp	run1	3
EH3595	blank	Tryp	run1	NA
EH3596	blank	Tryp	run1	NA
EH3597	blank	Tryp	run1	NA
EH3598	40	Tryp	run1	1
EH3599	40	Tryp	run1	2
EH3600	40	Tryp	run1	3
EH3601	41	Tryp	run1	1
EH3602	41	Tryp	run1	2
EH3603	41	Tryp	run1	3
EH3604	42	Tryp	run1	1
EH3605	42	Tryp	run1	2
EH3606	42	Tryp	run1	3
EH3607	43	Tryp	run1	1
EH3608	43	Tryp	run1	2
