Rawfilenumber	Sample	Protease	run	replicate
EH3414	1	Tryp	run1	1
EH3415	1	Tryp	run1	2
EH3416	1	Tryp	run1	3
EH3418	2	Tryp	run1	1
EH3419	2	Tryp	run1	2
EH3420	2	Tryp	run1	3
EH3422	3	Tryp	run1	1
EH3423	3	Tryp	run1	2
EH3424	3	Tryp	run1	3
EH3426	4	Tryp	run1	1
EH3427	4	Tryp	run1	2
EH3428	4	Tryp	run1	3
EH3430	5	Tryp	run1	1
EH3431	5	Tryp	run1	2
EH3432	5	Tryp	run1	3
EH3436	6	Tryp	run1	1
EH3437	6	Tryp	run1	2
EH3438	6	Tryp	run1	3
EH3440	7	Tryp	run1	1
EH3441	7	Tryp	run1	2
EH3442	7	Tryp	run1	3
EH3444	8	Tryp	run1	1
EH3445	8	Tryp	run1	2
EH3446	8	Tryp	run1	3
EH3448	9	Tryp	run1	1
EH3449	9	Tryp	run1	2
EH3450	9	Tryp	run1	3
EH3452	10	Tryp	run1	1
EH3453	10	Tryp	run1	2
EH3454	10	Tryp	run1	3
EH3458	11	Tryp	run1	1
EH3459	11	Tryp	run1	2
EH3460	11	Tryp	run1	3
EH3462	12	Tryp	run1	1
EH3463	12	Tryp	run1	2
EH3464	12	Tryp	run1	3
EH3466	13	Tryp	run1	1
EH3467	13	Tryp	run1	2
EH3468	13	Tryp	run1	3
EH3470	14	Tryp	run1	1
EH3471	14	Tryp	run1	2
EH3472	14	Tryp	run1	3
EH3474	15	Tryp	run1	1
EH3475	15	Tryp	run1	2
EH3476	15	Tryp	run1	3
EH3478	16	Tryp	run1	1
EH3479	16	Tryp	run1	2
EH3480	16	Tryp	run1	3
EH3484	17	Tryp	run1	1
EH3485	17	Tryp	run1	2
EH3486	17	Tryp	run1	3
EH3488	18	Tryp	run1	1
EH3489	18	Tryp	run1	2
EH3490	18	Tryp	run1	3
EH3492	19	Tryp	run1	1
EH3493	19	Tryp	run1	2
EH3494	19	Tryp	run1	3
EH3496	20	Tryp	run1	1
EH3497	20	Tryp	run1	2
EH3498	20	Tryp	run1	3
EH3500	21	Tryp	run1	1
EH3501	21	Tryp	run1	2
EH3502	21	Tryp	run1	3
EH3506	22	Tryp	run1	1
EH3507	22	Tryp	run1	2
EH3508	22	Tryp	run1	3
EH3510	23	Tryp	run1	1
EH3511	23	Tryp	run1	2
EH3512	23	Tryp	run1	3
EH3514	24	Tryp	run1	1
EH3515	24	Tryp	run1	2
EH3517	25	Tryp	run1	1
EH3518	25	Tryp	run1	2
EH3519	25	Tryp	run1	3
EH3523	26	Tryp	run1	1
EH3524	26	Tryp	run1	2
EH3525	26	Tryp	run1	3
EH3529	27	Tryp	run1	1
EH3530	27	Tryp	run1	2
EH3531	27	Tryp	run1	3
EH3535	28	Tryp	run1	1
EH3536	28	Tryp	run1	2
EH3537	28	Tryp	run1	3
EH3541	29	Tryp	run1	1
EH3542	29	Tryp	run1	2
EH3543	29	Tryp	run1	3
EH3547	30	Tryp	run1	1
EH3548	30	Tryp	run1	2
EH3549	30	Tryp	run1	3
EH3553	31	Tryp	run1	1
EH3554	31	Tryp	run1	2
EH3555	31	Tryp	run1	3
EH3559	32	Tryp	run1	1
EH3560	32	Tryp	run1	2
EH3561	32	Tryp	run1	3
EH3565	33	Tryp	run1	1
EH3566	33	Tryp	run1	2
EH3567	33	Tryp	run1	3
EH3571	34	Tryp	run1	1
EH3572	34	Tryp	run1	2
EH3573	34	Tryp	run1	3
EH3577	35	Tryp	run1	1
EH3578	35	Tryp	run1	2
EH3579	35	Tryp	run1	3
EH3583	36	Tryp	run1	1
EH3584	36	Tryp	run1	2
EH3585	36	Tryp	run1	3
EH3586	37	Tryp	run1	1
EH3587	37	Tryp	run1	2
EH3588	37	Tryp	run1	3
EH3589	38	Tryp	run1	1
EH3590	38	Tryp	run1	2
EH3591	38	Tryp	run1	3
EH3592	39	Tryp	run1	1
EH3593	39	Tryp	run1	2
EH3594	39	Tryp	run1	3
EH3598	40	Tryp	run1	1
EH3599	40	Tryp	run1	2
EH3600	40	Tryp	run1	3
EH3601	41	Tryp	run1	1
EH3602	41	Tryp	run1	2
EH3603	41	Tryp	run1	3
EH3604	42	Tryp	run1	1
EH3605	42	Tryp	run1	2
EH3606	42	Tryp	run1	3
EH3607	43	Tryp	run1	1
EH3608	43	Tryp	run1	2
EH3609	43	Tryp	run1	3
EH3613	44	Tryp	run1	1
EH3614	44	Tryp	run1	2
EH3615	44	Tryp	run1	3
EH3616	45	Tryp	run1	1
EH3617	45	Tryp	run1	2
EH3618	45	Tryp	run1	3
EH3619	46	Tryp	run1	1
EH3620	46	Tryp	run1	2
EH3621	46	Tryp	run1	3
EH3622	47	Tryp	run1	1
EH3623	47	Tryp	run1	2
EH3624	47	Tryp	run1	3
EH3628	48	Tryp	run1	1
EH3632	49	Tryp	run1	1
EH3633	49	Tryp	run1	2
EH3634	49	Tryp	run1	3
EH3638	50	Tryp	run1	1
EH3639	50	Tryp	run1	2
EH3640	50	Tryp	run1	3
EH3644	51	Tryp	run1	1
EH3645	51	Tryp	run1	2
EH3646	51	Tryp	run1	3
EH3650	52	Tryp	run1	1
EH3651	52	Tryp	run1	2
EH3652	52	Tryp	run1	3
EH3656	53	Tryp	run1	1
EH3657	53	Tryp	run1	2
EH3658	53	Tryp	run1	3
EH3662	54	Tryp	run1	1
EH3663	54	Tryp	run1	2
EH3664	54	Tryp	run1	3
EH3668	55	Tryp	run1	1
EH3669	55	Tryp	run1	2
EH3670	55	Tryp	run1	3
EH3671	56	Tryp	run1	1
EH3672	56	Tryp	run1	2
EH3673	56	Tryp	run1	3
EH3674	57	Tryp	run1	1
EH3675	57	Tryp	run1	2
EH3676	57	Tryp	run1	3
EH3677	58	Tryp	run1	1
EH3678	58	Tryp	run1	2
EH3679	58	Tryp	run1	3
EH3683	59	Tryp	run1	1
EH3684	59	Tryp	run1	2
EH3685	59	Tryp	run1	3
EH3689	61	Tryp	run1	1
EH3690	61	Tryp	run1	2
EH3691	61	Tryp	run1	3
EH3695	62	Tryp	run1	1
EH3696	62	Tryp	run1	2
EH3697	62	Tryp	run1	3
EH3701	63	Tryp	run1	1
EH3702	63	Tryp	run1	2
EH3703	63	Tryp	run1	3
EH3707	64	Tryp	run1	1
EH3708	64	Tryp	run1	2
EH3709	64	Tryp	run1	3
EH3713	65	Tryp	run1	1
EH3714	65	Tryp	run1	2
EH3715	65	Tryp	run1	3
EH3719	66	Tryp	run1	1
EH3720	66	Tryp	run1	2
EH3721	66	Tryp	run1	3
EH3725	67	Tryp	run1	1
EH3726	67	Tryp	run1	2
EH3727	67	Tryp	run1	3
EH3728	68	Tryp	run1	1
EH3729	68	Tryp	run1	2
EH3730	68	Tryp	run1	3
EH3734	69	Tryp	run1	1
EH3735	69	Tryp	run1	2
EH3736	69	Tryp	run1	3
EH3740	70	Tryp	run1	1
EH3741	70	Tryp	run1	2
