Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	EH671 Spectral Count	EH672 Spectral Count	EH676 Spectral Count	EH671 Unique Spectral Count	EH672 Unique Spectral Count	EH676 Unique Spectral Count	EH671 Total Spectral Count	EH672 Total Spectral Count	EH676 Total Spectral Count	EH671 Intensity	EH672 Intensity	EH676 Intensity	EH671 MaxLFQ Intensity	EH672 MaxLFQ Intensity	EH676 MaxLFQ Intensity	Indistinguishable Proteins
AB019437|IGHV3-66*03|Homo	AB019437|IGHV3-66*03|Homo sapiens|F|V-REGION|158218..158510|293 nt|1| | | |97 AA|97+0=97| | |	AB019437|IGHV3-66*03|Homo sapiens|F|V-REGION|158218..158510|293 nt|1| | | |97 AA|97+0=97| | |		97			sapiens|F|V-REGION|158218..158510|293	0.9752	0.999	3	2	0	4	0	0	2	0	0	0	0	0	4	2.7397847E9	3692177.2	7.3527328E7	0.0	0.0	0.0	J03617|IGHV3-53*03|Homo, M99679|IGHV3-53*01|Homo, igor_igh_1025, igor_igh_1038, igor_igh_1055, igor_igh_1126, igor_igh_1142, igor_igh_1147, igor_igh_1162, igor_igh_1244, igor_igh_1285, igor_igh_1306, igor_igh_1324, igor_igh_145, igor_igh_1451, igor_igh_1501, igor_igh_1525, igor_igh_1588, igor_igh_1682, igor_igh_1703, igor_igh_1758, igor_igh_1832, igor_igh_1983, igor_igh_2065, igor_igh_2079, igor_igh_2091, igor_igh_2158, igor_igh_2164, igor_igh_2188, igor_igh_224, igor_igh_2344, igor_igh_2363, igor_igh_2416, igor_igh_2462, igor_igh_2543, igor_igh_2594, igor_igh_2629, igor_igh_265, igor_igh_2708, igor_igh_2809, igor_igh_2886, igor_igh_3057, igor_igh_308, igor_igh_3090, igor_igh_3111, igor_igh_3183, igor_igh_3230, igor_igh_3345, igor_igh_3405, igor_igh_3572, igor_igh_3573, igor_igh_3575, igor_igh_3692, igor_igh_3699, igor_igh_3742, igor_igh_3772, igor_igh_3798, igor_igh_3939, igor_igh_3950, igor_igh_3984, igor_igh_3995, igor_igh_4044, igor_igh_4080, igor_igh_413, igor_igh_418, igor_igh_4220, igor_igh_4228, igor_igh_4267, igor_igh_4290, igor_igh_4384, igor_igh_4388, igor_igh_444, igor_igh_4482, igor_igh_4607, igor_igh_4727, igor_igh_482, igor_igh_4839, igor_igh_486, igor_igh_4869, igor_igh_502, igor_igh_5030, igor_igh_5069, igor_igh_5074, igor_igh_5171, igor_igh_5193, igor_igh_5249, igor_igh_5500, igor_igh_5522, igor_igh_5531, igor_igh_56, igor_igh_5631, igor_igh_565, igor_igh_5828, igor_igh_5991, igor_igh_6046, igor_igh_6066, igor_igh_6067, igor_igh_6126, igor_igh_6587, igor_igh_6802, igor_igh_6881, igor_igh_6940, igor_igh_7, igor_igh_7025, igor_igh_7033, igor_igh_7101, igor_igh_7128, igor_igh_7135, igor_igh_723, igor_igh_7266, igor_igh_7300, igor_igh_7320, igor_igh_7333, igor_igh_7408, igor_igh_7416, igor_igh_7505, igor_igh_762, igor_igh_7652, igor_igh_7669, igor_igh_7672, igor_igh_7738, igor_igh_7758, igor_igh_7818, igor_igh_7839, igor_igh_7862, igor_igh_7869, igor_igh_787, igor_igh_7880, igor_igh_7926, igor_igh_8003, igor_igh_8037, igor_igh_8080, igor_igh_8106, igor_igh_8164, igor_igh_8173, igor_igh_8198, igor_igh_8213, igor_igh_8224, igor_igh_8306, igor_igh_8318, igor_igh_8354, igor_igh_8375, igor_igh_8412, igor_igh_8435, igor_igh_8479, igor_igh_8489, igor_igh_8500, igor_igh_8594, igor_igh_8651, igor_igh_8804, igor_igh_8940, igor_igh_8958, igor_igh_9116, igor_igh_9193, igor_igh_9219, igor_igh_9276, igor_igh_9333, igor_igh_9379, igor_igh_9388, igor_igh_9515, igor_igh_9576, igor_igh_9678, igor_igh_9742, igor_igh_9823, igor_igh_9858, igor_igh_9946, igor_igh_9971, immunesim_igh_1029, immunesim_igh_1051, immunesim_igh_1114, immunesim_igh_1136, immunesim_igh_1236, immunesim_igh_1379, immunesim_igh_138, immunesim_igh_1439, immunesim_igh_1474, immunesim_igh_1564, immunesim_igh_1638, immunesim_igh_1662, immunesim_igh_1673, immunesim_igh_1674, immunesim_igh_1719, immunesim_igh_1788, immunesim_igh_1804, immunesim_igh_1823, immunesim_igh_1847, immunesim_igh_186, immunesim_igh_1862, immunesim_igh_1863, immunesim_igh_1879, immunesim_igh_1902, immunesim_igh_2041, immunesim_igh_2052, immunesim_igh_2116, immunesim_igh_2154, immunesim_igh_2169, immunesim_igh_2183, immunesim_igh_2184, immunesim_igh_2244, immunesim_igh_2265, immunesim_igh_2332, immunesim_igh_2434, immunesim_igh_2500, immunesim_igh_2501, immunesim_igh_2533, immunesim_igh_2535, immunesim_igh_2536, immunesim_igh_2542, immunesim_igh_2572, immunesim_igh_2623, immunesim_igh_2647, immunesim_igh_2729, immunesim_igh_2744, immunesim_igh_2792, immunesim_igh_2801, immunesim_igh_2843, immunesim_igh_2967, immunesim_igh_3030, immunesim_igh_3076, immunesim_igh_3156, immunesim_igh_3181, immunesim_igh_3193, immunesim_igh_3239, immunesim_igh_3341, immunesim_igh_3391, immunesim_igh_3409, immunesim_igh_3452, immunesim_igh_3491, immunesim_igh_3495, immunesim_igh_3496, immunesim_igh_3634, immunesim_igh_3739, immunesim_igh_3829, immunesim_igh_387, immunesim_igh_3876, immunesim_igh_3886, immunesim_igh_39, immunesim_igh_3925, immunesim_igh_3983, immunesim_igh_4065, immunesim_igh_4086, immunesim_igh_4099, immunesim_igh_4208, immunesim_igh_4260, immunesim_igh_43, immunesim_igh_442, immunesim_igh_4422, immunesim_igh_4436, immunesim_igh_4529, immunesim_igh_453, immunesim_igh_4634, immunesim_igh_4730, immunesim_igh_4741, immunesim_igh_4835, immunesim_igh_4860, immunesim_igh_4863, immunesim_igh_487, immunesim_igh_4896, immunesim_igh_4902, immunesim_igh_4992, immunesim_igh_5090, immunesim_igh_5095, immunesim_igh_5299, immunesim_igh_5440, immunesim_igh_5442, immunesim_igh_5443, immunesim_igh_5557, immunesim_igh_5592, immunesim_igh_5619, immunesim_igh_5634, immunesim_igh_5661, immunesim_igh_570, immunesim_igh_5724, immunesim_igh_5736, immunesim_igh_5754, immunesim_igh_5760, immunesim_igh_5829, immunesim_igh_5934, immunesim_igh_601, immunesim_igh_6056, immunesim_igh_6255, immunesim_igh_6327, immunesim_igh_6385, immunesim_igh_6386, immunesim_igh_6392, immunesim_igh_6413, immunesim_igh_6421, immunesim_igh_65, immunesim_igh_6591, immunesim_igh_6637, immunesim_igh_6677, immunesim_igh_6682, immunesim_igh_681, immunesim_igh_6843, immunesim_igh_6928, immunesim_igh_6932, immunesim_igh_694, immunesim_igh_6962, immunesim_igh_7017, immunesim_igh_7217, immunesim_igh_7333, immunesim_igh_7379, immunesim_igh_7395, immunesim_igh_7397, immunesim_igh_743, immunesim_igh_7436, immunesim_igh_7459, immunesim_igh_7642, immunesim_igh_7649, immunesim_igh_7721, immunesim_igh_7843, immunesim_igh_7856, immunesim_igh_786, immunesim_igh_7974, immunesim_igh_8019, immunesim_igh_8021, immunesim_igh_8098, immunesim_igh_813, immunesim_igh_8195, immunesim_igh_8196, immunesim_igh_821, immunesim_igh_8379, immunesim_igh_843, immunesim_igh_8475, immunesim_igh_8480, immunesim_igh_8511, immunesim_igh_8531, immunesim_igh_8536, immunesim_igh_8633, immunesim_igh_8645, immunesim_igh_8675, immunesim_igh_875, immunesim_igh_8768, immunesim_igh_8857, immunesim_igh_8923, immunesim_igh_9144, immunesim_igh_9173, immunesim_igh_9204, immunesim_igh_9211, immunesim_igh_9393, immunesim_igh_9395, immunesim_igh_9402, immunesim_igh_942, immunesim_igh_9446, immunesim_igh_9489, immunesim_igh_9520, immunesim_igh_9583, immunesim_igh_9715, immunesim_igh_9803, immunesim_igh_9827, immunesim_igh_9862, immunesim_igh_9868, immunesim_igh_994, immunesim_igh_997
AB019437|IGHV3-71*01|Homo	AB019437|IGHV3-71*01|Homo sapiens|P|V-REGION|105844..106145|302 nt|1| | | |100 AA|100+0=100| | |	AB019437|IGHV3-71*01|Homo sapiens|P|V-REGION|105844..106145|302 nt|1| | | |100 AA|100+0=100| | |		99			sapiens|P|V-REGION|105844..106145|302	0.9997	0.999	6	2	0	21	1	0	1	0	0	0	9	0	12	7.7067592E7	0.0	4.1230696E7	0.0	0.0	0.0	HM855455|IGHV3-71*03|Homo, MK540648|IGHV3-71*04|Homo, igor_igh_1010, igor_igh_1132, igor_igh_122, igor_igh_1231, igor_igh_1251, igor_igh_1348, igor_igh_1443, igor_igh_1454, igor_igh_1490, igor_igh_1503, igor_igh_1552, igor_igh_1701, igor_igh_1750, igor_igh_1827, igor_igh_1831, igor_igh_1867, igor_igh_1906, igor_igh_1913, igor_igh_1917, igor_igh_2031, igor_igh_2161, igor_igh_2222, igor_igh_2251, igor_igh_2292, igor_igh_2371, igor_igh_2376, igor_igh_2397, igor_igh_2405, igor_igh_2421, igor_igh_2426, igor_igh_2528, igor_igh_2588, igor_igh_2755, igor_igh_2793, igor_igh_2928, igor_igh_2954, igor_igh_2960, igor_igh_3078, igor_igh_3155, igor_igh_3184, igor_igh_322, igor_igh_3251, igor_igh_3253, igor_igh_3415, igor_igh_3634, igor_igh_3674, igor_igh_378, igor_igh_382, igor_igh_3837, igor_igh_391, igor_igh_3924, igor_igh_4042, igor_igh_4114, igor_igh_412, igor_igh_4148, igor_igh_4153, igor_igh_4177, igor_igh_4184, igor_igh_423, igor_igh_4338, igor_igh_4383, igor_igh_4391, igor_igh_450, igor_igh_4576, igor_igh_4577, igor_igh_4606, igor_igh_4640, igor_igh_4699, igor_igh_47, igor_igh_4779, igor_igh_4787, igor_igh_4952, igor_igh_4976, igor_igh_4977, igor_igh_4988, igor_igh_5005, igor_igh_5081, igor_igh_5084, igor_igh_5107, igor_igh_5169, igor_igh_5253, igor_igh_5363, igor_igh_5449, igor_igh_548, igor_igh_5627, igor_igh_568, igor_igh_5692, igor_igh_5725, igor_igh_5737, igor_igh_5830, igor_igh_5896, igor_igh_5918, igor_igh_5959, igor_igh_6060, igor_igh_6069, igor_igh_6070, igor_igh_6185, igor_igh_6212, igor_igh_6377, igor_igh_6383, igor_igh_6421, igor_igh_6433, igor_igh_6486, igor_igh_653, igor_igh_6582, igor_igh_6629, igor_igh_6733, igor_igh_6778, igor_igh_680, igor_igh_6900, igor_igh_6931, igor_igh_6939, igor_igh_6951, igor_igh_7034, igor_igh_7064, igor_igh_7131, igor_igh_7144, igor_igh_7203, igor_igh_7255, igor_igh_7257, igor_igh_7265, igor_igh_727, igor_igh_7312, igor_igh_7376, igor_igh_7528, igor_igh_7543, igor_igh_7561, igor_igh_7596, igor_igh_7608, igor_igh_7633, igor_igh_7654, igor_igh_7768, igor_igh_7829, igor_igh_7836, igor_igh_7843, igor_igh_7877, igor_igh_7889, igor_igh_7948, igor_igh_7967, igor_igh_8114, igor_igh_8197, igor_igh_8238, igor_igh_8299, igor_igh_831, igor_igh_833, igor_igh_8372, igor_igh_8404, igor_igh_8517, igor_igh_8544, igor_igh_8628, igor_igh_8910, igor_igh_8939, igor_igh_8961, igor_igh_8974, igor_igh_9123, igor_igh_9190, igor_igh_9287, igor_igh_9324, igor_igh_9471, igor_igh_9504, igor_igh_9660, igor_igh_9711, igor_igh_9812, igor_igh_997
AB019437|IGHV3-73*02|Homo	AB019437|IGHV3-73*02|Homo sapiens|F|V-REGION|78310..78611|302 nt|1| | | |100 AA|100+0=100| | |	AB019437|IGHV3-73*02|Homo sapiens|F|V-REGION|78310..78611|302 nt|1| | | |100 AA|100+0=100| | |		100			sapiens|F|V-REGION|78310..78611|302	0.9997	0.999	3	2	0	5	1	0	1	0	0	0	2	0	3	3.1372488E7	0.0	4.0057472E7	0.0	0.0	0.0	X70197|IGHV3-73*01|Homo, igor_igh_1012, igor_igh_1286, igor_igh_1318, igor_igh_1413, igor_igh_1508, igor_igh_1794, igor_igh_1822, igor_igh_1836, igor_igh_1976, igor_igh_2016, igor_igh_2181, igor_igh_2303, igor_igh_2516, igor_igh_254, igor_igh_2547, igor_igh_2684, igor_igh_2892, igor_igh_294, igor_igh_2940, igor_igh_3007, igor_igh_3052, igor_igh_3120, igor_igh_3386, igor_igh_3531, igor_igh_363, igor_igh_4041, igor_igh_4156, igor_igh_4460, igor_igh_4551, igor_igh_4763, igor_igh_4835, igor_igh_4848, igor_igh_4924, igor_igh_4937, igor_igh_4956, igor_igh_5, igor_igh_5118, igor_igh_5306, igor_igh_5341, igor_igh_5384, igor_igh_5486, igor_igh_5595, igor_igh_5906, igor_igh_5977, igor_igh_6122, igor_igh_6256, igor_igh_6269, igor_igh_6372, igor_igh_6439, igor_igh_646, igor_igh_6696, igor_igh_6810, igor_igh_7060, igor_igh_7232, igor_igh_7357, igor_igh_7365, igor_igh_7372, igor_igh_7702, igor_igh_7857, igor_igh_7893, igor_igh_7916, igor_igh_7960, igor_igh_8011, igor_igh_8101, igor_igh_8313, igor_igh_8366, igor_igh_8398, igor_igh_8476, igor_igh_850, igor_igh_8538, igor_igh_8868, igor_igh_8993, igor_igh_9013, igor_igh_918, igor_igh_9470, igor_igh_9552, igor_igh_9779, immunesim_igh_1130, immunesim_igh_1165, immunesim_igh_1166, immunesim_igh_1268, immunesim_igh_1302, immunesim_igh_1326, immunesim_igh_1345, immunesim_igh_1351, immunesim_igh_1397, immunesim_igh_14, immunesim_igh_1453, immunesim_igh_1516, immunesim_igh_1554, immunesim_igh_1580, immunesim_igh_163, immunesim_igh_1657, immunesim_igh_1868, immunesim_igh_1895, immunesim_igh_1901, immunesim_igh_1955, immunesim_igh_1993, immunesim_igh_2, immunesim_igh_2151, immunesim_igh_2380, immunesim_igh_2496, immunesim_igh_2518, immunesim_igh_260, immunesim_igh_2606, immunesim_igh_2613, immunesim_igh_2687, immunesim_igh_2704, immunesim_igh_2731, immunesim_igh_2749, immunesim_igh_2781, immunesim_igh_2863, immunesim_igh_2929, immunesim_igh_2981, immunesim_igh_3208, immunesim_igh_329, immunesim_igh_3440, immunesim_igh_3601, immunesim_igh_3746, immunesim_igh_3812, immunesim_igh_3834, immunesim_igh_3912, immunesim_igh_3916, immunesim_igh_4266, immunesim_igh_4342, immunesim_igh_4355, immunesim_igh_4604, immunesim_igh_4645, immunesim_igh_4708, immunesim_igh_4723, immunesim_igh_4826, immunesim_igh_4830, immunesim_igh_4940, immunesim_igh_5030, immunesim_igh_525, immunesim_igh_5349, immunesim_igh_5544, immunesim_igh_5561, immunesim_igh_5605, immunesim_igh_561, immunesim_igh_5697, immunesim_igh_5795, immunesim_igh_5814, immunesim_igh_5966, immunesim_igh_6106, immunesim_igh_6215, immunesim_igh_6216, immunesim_igh_6290, immunesim_igh_6308, immunesim_igh_6354, immunesim_igh_6367, immunesim_igh_6404, immunesim_igh_6423, immunesim_igh_6474, immunesim_igh_656, immunesim_igh_6680, immunesim_igh_6727, immunesim_igh_680, immunesim_igh_6810, immunesim_igh_7196, immunesim_igh_7432, immunesim_igh_7481, immunesim_igh_7504, immunesim_igh_7509, immunesim_igh_7514, immunesim_igh_7561, immunesim_igh_7568, immunesim_igh_7638, immunesim_igh_7763, immunesim_igh_8040, immunesim_igh_8144, immunesim_igh_8506, immunesim_igh_8546, immunesim_igh_8713, immunesim_igh_8787, immunesim_igh_8912, immunesim_igh_9043, immunesim_igh_9079, immunesim_igh_9129, immunesim_igh_94, immunesim_igh_958, immunesim_igh_9670, immunesim_igh_9739, immunesim_igh_9783, immunesim_igh_9809, immunesim_igh_9892, immunesim_igh_999
AB019438|IGHV3-47*02|Homo	AB019438|IGHV3-47*02|Homo sapiens|P|V-REGION|114743..115035|293 nt|1| | | |97 AA|97+0=97| | |	AB019438|IGHV3-47*02|Homo sapiens|P|V-REGION|114743..115035|293 nt|1| | | |97 AA|97+0=97| | |		97			sapiens|P|V-REGION|114743..115035|293	0.9999	0.999	2	3	0	5	1	0	2	0	0	0	2	0	3	0.0	0.0	0.0	0.0	0.0	0.0	Z18900|IGHV3-47*01|Homo, igor_igh_1007, igor_igh_1211, igor_igh_1569, igor_igh_1597, igor_igh_1759, igor_igh_1918, igor_igh_2332, igor_igh_240, igor_igh_246, igor_igh_2777, igor_igh_2787, igor_igh_3808, igor_igh_389, igor_igh_4047, igor_igh_4048, igor_igh_4056, igor_igh_4163, igor_igh_4572, igor_igh_4574, igor_igh_4580, igor_igh_4742, igor_igh_4772, igor_igh_4921, igor_igh_4993, igor_igh_5178, igor_igh_6173, igor_igh_6184, igor_igh_6253, igor_igh_6349, igor_igh_676, igor_igh_6892, igor_igh_6955, igor_igh_7173, igor_igh_7390, igor_igh_8215, igor_igh_8576, igor_igh_8872, igor_igh_9244, igor_igh_9445, igor_igh_9936, igor_igh_9945, immunesim_igh_2649, immunesim_igh_3480, immunesim_igh_497, immunesim_igh_6108, immunesim_igh_8288, immunesim_igh_8799, immunesim_igh_956
AB019439|IGHV3-38*02|Homo	AB019439|IGHV3-38*02|Homo sapiens|ORF|V-REGION|22845..23136|292 nt|1| | | |97 AA|97+0=97| | |	AB019439|IGHV3-38*02|Homo sapiens|ORF|V-REGION|22845..23136|292 nt|1| | | |97 AA|97+0=97| | |		97			sapiens|ORF|V-REGION|22845..23136|292	0.9997	0.999	1	1	0	1	0	0	1	0	0	0	0	0	1	9603324.0	0.0	1.3165071E7	0.0	0.0	0.0	KC713943|IGHV3-38*03|Homo, M99669|IGHV3-38*01|Homo, igor_igh_7345, igor_igh_8799, sp|A0A0C4DH36|HV338_HUMAN
AC242184|IGHV3-43D*04|Homo	AC242184|IGHV3-43D*04|Homo sapiens|F|V-REGION|27629..27926|298 nt|1| | ||99 AA|99+0=99| | |	AC242184|IGHV3-43D*04|Homo sapiens|F|V-REGION|27629..27926|298 nt|1| | ||99 AA|99+0=99| | |		99			sapiens|F|V-REGION|27629..27926|298	0.9997	0.999	2	1	0	4	1	0	0	0	0	0	4	0	0	6.2138432E7	0.0	0.0	0.0	0.0	0.0	KC713950|IGHV3-43D*03|Homo, M99672|IGHV3-43*01|Homo, igor_igh_1003, igor_igh_1058, igor_igh_1119, igor_igh_1121, igor_igh_114, igor_igh_1228, igor_igh_1353, igor_igh_1366, igor_igh_1384, igor_igh_1437, igor_igh_1441, igor_igh_1580, igor_igh_1604, igor_igh_1628, igor_igh_1698, igor_igh_1845, igor_igh_190, igor_igh_1966, igor_igh_2048, igor_igh_2167, igor_igh_2322, igor_igh_2477, igor_igh_2527, igor_igh_2608, igor_igh_2679, igor_igh_2872, igor_igh_2919, igor_igh_2959, igor_igh_3041, igor_igh_3095, igor_igh_3145, igor_igh_3159, igor_igh_3232, igor_igh_3270, igor_igh_3299, igor_igh_33, igor_igh_3307, igor_igh_3370, igor_igh_3490, igor_igh_3658, igor_igh_3718, igor_igh_3800, igor_igh_3977, igor_igh_4005, igor_igh_4247, igor_igh_4316, igor_igh_4380, igor_igh_4440, igor_igh_4471, igor_igh_4596, igor_igh_4613, igor_igh_4634, igor_igh_4940, igor_igh_520, igor_igh_5226, igor_igh_5301, igor_igh_531, igor_igh_5587, igor_igh_5640, igor_igh_5673, igor_igh_5689, igor_igh_5769, igor_igh_5866, igor_igh_5926, igor_igh_5934, igor_igh_5945, igor_igh_5950, igor_igh_6045, igor_igh_6061, igor_igh_6151, igor_igh_6191, igor_igh_6351, igor_igh_6431, igor_igh_6753, igor_igh_682, igor_igh_6912, igor_igh_6979, igor_igh_7130, igor_igh_7211, igor_igh_7219, igor_igh_7242, igor_igh_7337, igor_igh_7406, igor_igh_7422, igor_igh_7463, igor_igh_7529, igor_igh_7553, igor_igh_7681, igor_igh_7792, igor_igh_803, igor_igh_8311, igor_igh_8361, igor_igh_8395, igor_igh_8482, igor_igh_8514, igor_igh_8527, igor_igh_8705, igor_igh_8819, igor_igh_8901, igor_igh_8902, igor_igh_896, igor_igh_903, igor_igh_9055, igor_igh_9091, igor_igh_9163, igor_igh_9208, igor_igh_9425, igor_igh_9580, igor_igh_9623, igor_igh_9794, igor_igh_9803, igor_igh_9829, igor_igh_9911, igor_igh_9926, immunesim_igh_1139, immunesim_igh_118, immunesim_igh_1208, immunesim_igh_1276, immunesim_igh_1304, immunesim_igh_1350, immunesim_igh_1406, immunesim_igh_1480, immunesim_igh_1489, immunesim_igh_1490, immunesim_igh_159, immunesim_igh_1652, immunesim_igh_1675, immunesim_igh_1694, immunesim_igh_1702, immunesim_igh_1724, immunesim_igh_1736, immunesim_igh_1809, immunesim_igh_1845, immunesim_igh_1848, immunesim_igh_1927, immunesim_igh_1940, immunesim_igh_1990, immunesim_igh_2132, immunesim_igh_2204, immunesim_igh_2283, immunesim_igh_2345, immunesim_igh_2381, immunesim_igh_2454, immunesim_igh_2556, immunesim_igh_2590, immunesim_igh_2591, immunesim_igh_2652, immunesim_igh_2742, immunesim_igh_2844, immunesim_igh_285, immunesim_igh_2857, immunesim_igh_2969, immunesim_igh_2976, immunesim_igh_2998, immunesim_igh_3130, immunesim_igh_3223, immunesim_igh_3226, immunesim_igh_3254, immunesim_igh_3282, immunesim_igh_3344, immunesim_igh_3405, immunesim_igh_3469, immunesim_igh_3483, immunesim_igh_355, immunesim_igh_3558, immunesim_igh_3720, immunesim_igh_4007, immunesim_igh_4022, immunesim_igh_4273, immunesim_igh_4325, immunesim_igh_4405, immunesim_igh_4455, immunesim_igh_4461, immunesim_igh_463, immunesim_igh_4747, immunesim_igh_4787, immunesim_igh_4799, immunesim_igh_4813, immunesim_igh_4842, immunesim_igh_4930, immunesim_igh_4945, immunesim_igh_4977, immunesim_igh_5002, immunesim_igh_5010, immunesim_igh_5028, immunesim_igh_5152, immunesim_igh_5159, immunesim_igh_5215, immunesim_igh_5227, immunesim_igh_5253, immunesim_igh_5310, immunesim_igh_5316, immunesim_igh_5439, immunesim_igh_5448, immunesim_igh_5513, immunesim_igh_5575, immunesim_igh_5735, immunesim_igh_5755, immunesim_igh_5873, immunesim_igh_5909, immunesim_igh_5917, immunesim_igh_5919, immunesim_igh_5965, immunesim_igh_597, immunesim_igh_6003, immunesim_igh_6103, immunesim_igh_6380, immunesim_igh_6566, immunesim_igh_6587, immunesim_igh_6639, immunesim_igh_666, immunesim_igh_6660, immunesim_igh_6688, immunesim_igh_6698, immunesim_igh_6823, immunesim_igh_689, immunesim_igh_692, immunesim_igh_6991, immunesim_igh_70, immunesim_igh_7018, immunesim_igh_7176, immunesim_igh_7245, immunesim_igh_7467, immunesim_igh_7821, immunesim_igh_7886, immunesim_igh_8115, immunesim_igh_8125, immunesim_igh_8174, immunesim_igh_8188, immunesim_igh_824, immunesim_igh_8270, immunesim_igh_8363, immunesim_igh_8414, immunesim_igh_8464, immunesim_igh_8545, immunesim_igh_8593, immunesim_igh_8618, immunesim_igh_8853, immunesim_igh_910, immunesim_igh_9155, immunesim_igh_917, immunesim_igh_9244, immunesim_igh_9297, immunesim_igh_934, immunesim_igh_9346, immunesim_igh_9347, immunesim_igh_9421, immunesim_igh_9437, immunesim_igh_9439, immunesim_igh_947, immunesim_igh_9530, immunesim_igh_9547, immunesim_igh_960, immunesim_igh_9601, immunesim_igh_9744, immunesim_igh_9806, immunesim_igh_9829, immunesim_igh_9834
AC245243|IGHV3-30-5*02|Homo	AC245243|IGHV3-30-5*02|Homo sapiens|F|V-REGION|3298..3593|296 nt|1| | | |98 AA|98+0=98| |rev-compl|	AC245243|IGHV3-30-5*02|Homo sapiens|F|V-REGION|3298..3593|296 nt|1| | | |98 AA|98+0=98| |rev-compl|		98			sapiens|F|V-REGION|3298..3593|296	1.0	0.999	6	7	0	7	2	0	5	0	0	0	2	0	5	4.4760012E7	388821.78	1.19454976E8	2.8019664E7	0.0	4.020124E7	L26401|IGHV3-30*02|Homo
AC279208|IGLV3-19*02|Homo	AC279208|IGLV3-19*02|Homo sapiens|F|V-REGION|25647..25936|290 nt|1| | | |96 AA|96+0=96| | |	AC279208|IGLV3-19*02|Homo sapiens|F|V-REGION|25647..25936|290 nt|1| | | |96 AA|96+0=96| | |		96			sapiens|F|V-REGION|25647..25936|290	0.9775	0.999	1	1	0	1	0	0	1	0	0	0	0	0	1	0.0	0.0	9008050.0	0.0	0.0	0.0	X56178|IGLV3-19*01|Homo, sp|P01714|LV319_HUMAN
AC279213|IGLV3-25*03|Homo	AC279213|IGLV3-25*03|Homo sapiens|F|V-REGION|16344..16633|290 nt|1| | | |96 AA|96+0=96| | |	AC279213|IGLV3-25*03|Homo sapiens|F|V-REGION|16344..16633|290 nt|1| | | |96 AA|96+0=96| | |		96			sapiens|F|V-REGION|16344..16633|290	1.0	0.999	3	7	0	8	3	0	4	0	0	0	3	0	5	4.41312576E8	0.0	4.39764992E8	3.0505888E8	0.0	2.91552736E8	D86994|IGLV3-25*02|Homo
AM940220|IGHV3-49*04|Homo	AM940220|IGHV3-49*04|Homo sapiens|F|V-REGION|1..302|302 nt|1| | | |100 AA|100+0=100| | |	AM940220|IGHV3-49*04|Homo sapiens|F|V-REGION|1..302|302 nt|1| | | |100 AA|100+0=100| | |		100			sapiens|F|V-REGION|1..302|302	1.0	0.999	7	11	0	12	4	1	6	0	0	0	4	1	7	3.41607776E8	2019883.4	3.76307008E8	1.18103568E8	0.0	1.358992E8	
